Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Example|Translation
232|8|1|Expanded|끊다|to quit||to cut off|담배를 끊기가 어려워요.|It's difficult to quit smoking.
233|8|1|Expanded|부지런하다|to be hard-working||to be diligent|부지런한 학생이에요.|He's a diligent student.
234|8|2|Dialogue|안색|complexion|顔色|face, color|안색이 좋지 않아 보여요.|Your complexion doesn't look good.
235|8|2|Dialogue|영양제|nutritional supplements|營養劑|manage, nourish, medicine|영양제를 챙겨 드세요.|Make sure to take your nutritional supplements.
236|8|2|Dialogue|헬스클럽|gym||health club (loanword)|새로 생긴 헬스클럽에 등록했어요.|I registered at the newly opened gym.
237|8|2|Dialogue|내다|to make time||to take out|운동할 시간을 내기 어려워요.|It's hard to make time for exercise.
238|8|2|Dialogue|밤늦게|late at night||night, late|밤늦게까지 일했어요.|I worked until late at night.
239|8|2|Dialogue|적당히|appropriately|適當히|fit, appropriate, adverb|적당히 운동하는 게 좋아요.|It's good to exercise moderately.
240|8|2|Dialogue|정신없이|busily|精神없이|spirit, soul, without, adverb|정신없이 바쁜 하루였어요.|It was a frantically busy day.
241|8|2|Expanded|운동부족|lack of exercise|運動不足|move, action, not, sufficient|운동부족으로 살이 쪘어요.|I gained weight due to lack of exercise.
242|8|2|Expanded|근육이생기다|to develop muscles|筋肉이生기다|muscle, flesh, subject, arise, do|헬스장에 다녀서 근육이 생겼어요.|I developed muscles from going to the gym.
243|8|2|Expanded|살이빠지다|to lose weight||flesh, subject, fall out, do|다이어트해서 살이 빠졌어요.|I lost weight from dieting.
244|8|2|Expanded|살이찌다|to gain weight||flesh, subject, become fat, do|요즘 살이 많이 쪘어요.|I've gained a lot of weight lately.
245|8|2|Expanded|운동량이늘다|to have an increase in exercise amount|運動量이늘다|move, action, amount, subject, increase, do|요즘 운동량이 늘어서 피곤해요.|I'm tired because my exercise amount increased lately.
246|8|2|Expanded|피로가쌓이다|to have an increase in fatigue|疲勞가쌓이다|tired, labor, subject, accumulate, do|일 때문에 피로가 쌓였어요.|Fatigue accumulated because of work.
247|8|2|Expanded|피로가풀리다|to have less fatigue|疲勞가풀리다|tired, labor, subject, be released, do|잠을 자고 나니 피로가 풀렸어요.|My fatigue was relieved after sleeping.
248|9|1|Dialogue|선반|top shelf|線盤|line, plate|높은 선반에 있는 책 좀 내려 주세요.|Please get down the book that's on the high shelf.
249|9|1|Dialogue|역무실|Station Office|驛務室|station, duty, room|역무실에서 안내를 받으세요.|Get information at the station office.
250|9|1|Dialogue|유실물센터|lost-and-found center|遺失物센터|leave behind, lose, thing, center|가방을 잃어버려서 유실물센터에 갔어요.|I lost my bag so I went to the lost-and-found center.
251|9|1|Dialogue|큰일|big trouble||big, work|지갑을 잃어버리면 큰일이에요.|It would be big trouble if I lost my wallet.
252|9|1|Dialogue|어떡하다|what to do||how, do|이런 상황에서 어떡해야 할까요?|What should I do in this situation?
253|9|1|Dialogue|급히|rush|急히|urgent, adverb|급히 병원으로 갔어요.|I rushed to the hospital.
254|9|1|Dialogue|다행히|fortunately|多幸히|much, luck, adverb|다행히 별일 없었어요.|Fortunately, nothing serious happened.
255|9|1|Expanded|부상|injury|負傷|carry, wound|사고로 다리에 부상을 입었어요.|I got an injury on my leg from an accident.
256|9|1|Expanded|비상벨|emergency bell|非常벨|not, normal, bell|엘리베이터에서 비상벨을 눌렀어요.|I pressed the emergency bell in the elevator.
257|9|1|Expanded|안전띠|safety belt|安全띠|safe, complete, belt|비행기에서 안전띠를 매세요.|Fasten your safety belt on the airplane.
258|9|1|Expanded|틈|gap||gap|문틈으로 바람이 들어와요.|Wind comes in through the gap in the door.
259|9|1|Expanded|갇히다|to get locked in||to be confined|엘리베이터에 갇혀서 무서웠어요.|I was scared because I got trapped in the elevator.
260|9|1|Expanded|끼이다|to be jammed between||to be caught between|손가락이 문에 끼였어요.|My finger got caught in the door.
261|9|1|Expanded|당하다|to suffer|當하다|correspond, do|사기를 당해서 돈을 잃었어요.|I lost money because I was scammed.
262|9|1|Expanded|빠지다1|to get (injured)||to fall into|계단에서 발을 빠뜨렸어요.|I missed a step on the stairs.
263|9|2|Dialogue|수리|repair|修理|fix, manage|컴퓨터 수리를 맡겼어요.|I left my computer for repair.
264|9|2|Dialogue|화면|screen|畫面|picture, surface|핸드폰 화면이 깨졌어요.|My phone screen is broken.
265|9|2|Dialogue|맡기다|to leave||to entrust|친구에게 짐을 맡겨 두었어요.|I left my luggage with a friend.
266|9|2|Dialogue|번거롭다|troublesome||to be bothersome|절차가 너무 번거로워요.|The procedure is too troublesome.
267|9|2|Dialogue|보이다2|to show||to be visible|여기서 바다가 잘 보여요.|The ocean is clearly visible from here.
268|9|2|Expanded|깨우다|to wake up||to awaken|아이를 깨우지 마세요.|Don't wake up the child.
269|9|2|Expanded|낮추다|to lower||day, make low|목소리를 좀 낮춰 주세요.|Please lower your voice a bit.
270|9|2|Expanded|녹다|to melt||to melt|아이스크림이 녹고 있어요.|The ice cream is melting.
271|9|2|Expanded|녹이다|to melt something||to make melt|버터를 녹여서 요리하세요.|Melt the butter and cook with it.
272|9|2|Expanded|눕히다|to lay down||to make lie down|환자를 침대에 눕혔어요.|I laid the patient down on the bed.
273|9|2|Expanded|늦추다|to delay||to make late|회의 시간을 늦췄어요.|I delayed the meeting time.
274|9|2|Expanded|맡다|to receive||to take charge|새 프로젝트를 맡게 되었어요.|I came to be in charge of a new project.
275|9|2|Expanded|먹이다|to feed||to make eat|강아지에게 밥을 먹여 주세요.|Please feed the puppy.
276|9|2|Expanded|살리다|to save||to make live|의사가 환자를 살렸어요.|The doctor saved the patient.
277|9|2|Expanded|세우다|to raise||to make stand|넘어진 자전거를 세웠어요.|I stood up the fallen bicycle.
278|9|2|Expanded|속다|to be fooled||to be deceived|사기꾼에게 속았어요.|I was deceived by a scammer.
279|9|2|Expanded|속이다|to fool||to deceive|친구를 속이면 안 돼요.|You shouldn't deceive your friend.
280|9|2|Expanded|숨기다|to hide something||to conceal|진실을 숨기지 마세요.|Don't hide the truth.
281|9|2|Expanded|숨다|to hide||to hide oneself|아이들이 숨바꼭질을 해요.|The children are playing hide-and-seek.
282|9|2|Expanded|신기다|to put on||to wear|새 신발을 신어 봤어요.|I tried on new shoes.
283|9|2|Expanded|씻기다2|to wash something||to make wash|아이 손을 깨끗이 씻겨 주세요.|Please wash the child's hands clean.
284|9|2|Expanded|앉히다|to sit someone down||to make sit|할머니를 의자에 앉혔어요.|I helped grandmother sit on the chair.
285|9|2|Expanded|알리다|to let someone know||to inform|부모님께 소식을 알렸어요.|I informed my parents of the news.
286|9|2|Expanded|울리다|to make someone cry||to make cry|슬픈 영화가 나를 울렸어요.|The sad movie made me cry.
287|9|2|Expanded|웃기다|to make someone laugh||to make laugh|재미있는 이야기로 친구를 웃겼어요.|I made my friend laugh with a funny story.
288|9|2|Expanded|읽히다|to make someone read||to make read|아이에게 책을 읽혀 주었어요.|I had the child read a book.
289|9|2|Expanded|입히다|to make someone put on||to make wear|아기에게 옷을 입혔어요.|I dressed the baby.
290|9|2|Expanded|재우다|to make someone go to sleep||to make sleep|아이를 일찍 재웠어요.|I put the child to sleep early.
291|9|2|Expanded|죽이다|to kill||to make die|모기를 죽였어요.|I killed a mosquito.
292|9|2|Expanded|채우다|to fill||to fill up|물통에 물을 채웠어요.|I filled the water bottle with water.
293|9|2|Expanded|태우다|to make someone ride||to make ride|친구를 차에 태워 줬어요.|I gave my friend a ride in my car.
294|10|1|Dialogue|속마음|inner feelings||inside, heart|속마음을 털어놓기 어려워요.|It's difficult to open up about my inner feelings.
295|10|1|Dialogue|표정|expression|表情|express, emotion|얼굴 표정이 밝아 보여요.|Your facial expression looks bright.
296|10|1|Dialogue|감추다|to hide||to conceal|기분이 나쁜 걸 감추려고 해요.|I'm trying to hide that I feel bad.
297|10|1|Dialogue|나타나다|to reveal||to appear|그의 성격이 행동에 나타나요.|His personality shows in his actions.
298|10|1|Dialogue|들키다|to be found out||to be caught|거짓말한 게 들켰어요.|I got caught lying.
299|10|1|Dialogue|부끄러워하다|to be embarrassed||to feel ashamed|실수를 해서 부끄러워했어요.|I was embarrassed because I made a mistake.
300|10|1|Dialogue|그만|to happen to||just, only|그만 잊어버리고 말았어요.|I ended up forgetting about it.
301|10|1|Dialogue|하긴|in fact||to do, indeed|하긴 그럴 수도 있겠네요.|Come to think of it, that could be possible.
302|10|1|Expanded|겁을내다|to be afraid of||fear, object, take out, do|어둠을 보고 겁을 냈어요.|I got scared when I saw the darkness.
303|10|1|Expanded|겁이나다|to be scared||fear, subject, come out, do|높은 곳에서 겁이 나요.|I get scared in high places.
304|10|1|Expanded|나타내다|to show||to reveal|감정을 솔직하게 나타내세요.|Express your emotions honestly.
305|10|1|Expanded|시간이나다|to have time|時間이나다|time, interval, subject, come out, do|오늘은 시간이 나지 않아요.|I don't have time today.
306|10|1|Expanded|혼을내다|to scold||soul, object, take out, do|아이가 잘못해서 혼을 냈어요.|I scolded the child because they did something wrong.
307|10|1|Expanded|혼이나다|to be scolded||soul, subject, come out, do|숙제를 안 해서 혼이 났어요.|I got scolded for not doing homework.
308|10|1|Expanded|화가나다|to be angry|火가나다|fire, subject, come out, do|친구 때문에 화가 났어요.|I got angry because of my friend.
309|10|1|Expanded|화를내다|to show one's anger|火를내다|fire, object, take out, do|부모님이 늦게 와서 화를 내셨어요.|My parents got angry because I came home late.
310|10|2|Dialogue|장난|joke||play, mischief|그냥 장난으로 한 말이에요.|I was just joking around.
311|10|2|Dialogue|진심|true heart|眞心|true, heart|진심으로 사과하고 싶어요.|I want to sincerely apologize.
312|10|2|Dialogue|걸다|to talk to||to hang|친구에게 전화를 걸었어요.|I called my friend.
313|10|2|Dialogue|놀리다|to make fun of||to tease|동생을 자꾸 놀리지 마세요.|Stop teasing your younger sibling.
314|10|2|Dialogue|사과하다|to apologize|謝過하다|thank, fault, do|실수한 일에 대해 사과했어요.|I apologized for the mistake I made.
315|10|2|Dialogue|상하다|to be offended|傷하다|wound, do|농담 때문에 기분이 상했어요.|I was offended because of the joke.
316|10|2|Dialogue|알아주다|to understand someone's intention||to know, give|내 마음을 알아줘서 고마워요.|Thank you for understanding my feelings.
317|10|2|Expanded|까먹다|to forget||to forget|약속을 까먹고 안 갔어요.|I forgot about the appointment and didn't go.
318|10|2|Expanded|깜박하다|to slip one's mind||to blink|열쇠를 가져오는 걸 깜박했어요.|I forgot to bring my keys.
319|10|2|Expanded|사이좋다|to have a good relationship||between, good|형제끼리 사이가 정말 좋아요.|The siblings have a really good relationship.
320|10|2|Expanded|어기다|to break a promise||to violate|약속을 어기면 안 돼요.|You shouldn't break a promise.
321|10|2|Expanded|오해하다|to misunderstand|誤解하다|mistake, understand, do|내 말을 오해한 것 같아요.|I think you misunderstood what I said.
322|10|2|Expanded|착각하다|to mistakenly think|錯覺하다|mistake, feel, do|시간을 착각해서 일찍 왔어요.|I came early because I was mistaken about the time.
323|10|2|Expanded|풀다1|to solve||to untie|수학 문제를 풀고 있어요.|I'm solving a math problem.
324|10|2|Expanded|풀리다|to become solved||to be untied|복잡한 문제가 드디어 풀렸어요.|The complex problem was finally solved.
325|10|2|Expanded|화해하다|to make amends|和解하다|harmony, understand, do|싸운 친구와 화해했어요.|I made up with the friend I fought with.
